Source	ATG	Target	Interaction	CCV	SYP61	Peroxisome	TGN	VHA-A1-GFP	CLC2-GFP	RABF1/ARA6-RFP	RFP-RABF2b/ARA7	YFP-GOT1	YFP-RABD2a/ARA5	YFP-RABG3f	YFP-VAMP711	Interactor Number	Contaminant	S-acylation	ER	Golgi	mit/plastid	Other	PM	Vacuole	Contaminant	Golgi	ER	ER/Vacuole	Golgi	mit/plastid	not classified	PM	Vacuole	Grand Total	TMs	Lipid modifications	IEA	IDA	Signal peptide	Database	unconventional?
ARA7/AtRABF2b	AT3G07160	"ATGSL10, gsl10, CALS9 glucan synthase-like 10 "	pp		1			1			1		1			2		1					1			1						1		8	16	0	0	0	0	Swiss	
ARA7/AtRABF2b	AT4G32410	"CESA1, RSW1, AtCESA1 cellulose synthase 1 "	pp		1			1			1		1			2		1		1						1					1			8	6	0	0	endosome Golgi apparatus plasma membrane trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT2G36850	"ATGSL08, GSL8, GSL08, ATGSL8, CHOR glucan synthase-like 8 "	pp		1						1		1			2		1					1			1						1		7	15	0	0	0	0	Swiss	
ARA7/AtRABF2b	AT5G05170	"CESA3, IXR1, ATCESA3, ATH-B, CEV1 Cellulose synthase family protein "	pp		1						1		1			2		1		1						1					1			7	8	0	0	endosome Golgi apparatus plasma membrane plasmodesma trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT3G51550	FER Malectin/receptor-like protein kinase family protein 	pp								1		1			2		1					1									1		5	2	0	0	filiform apparatus membrane plasma membrane plasmodesma 	1	Swiss	
ARA7/AtRABF2b	AT1G01960	BIG3/EDA10	pp						1		1		1	1		4																		4	0	0	membrane 	cytosol nucleus 	0	Swiss	
ARA7/AtRABF2b	AT5G59730	EXO70H7	pp								1					1																		1	0	0	0	cytosol nucleus 	0	trembl	
ARA7/AtRABF2b	AT1G70320	UPL2 ubiquitin-protein ligase 2 	pp								1			1		2																		2	0	0	0	cytosol mitochondrion nucleus 	0	Swiss	
ARA7/AtRABF2b	AT4G38630	"RPN10, MCB1, ATMCB1, MBP1 regulatory particle non-ATPase 10 "	pp								1			1		2																		2	0	0	0	cytosol membrane proteasome complex 	0	Swiss	
ARA7/AtRABF2b	AT3G02260	"BIG, DOC1, TIR3, UMB1, ASA1, LPR1, CRM1 auxin transport protein (BIG) "	pp						1	1	1		1	1		5						1												6	0	0	0	cytosol membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT3G03960	TCP-1/cpn60 chaperonin family protein 	pp						1		1		1	1		4																		4	0	0	0	cytosol membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT4G03550	"ATGSL05, GSL05, ATGSL5, PMR4, GSL5 glucan synthase-like 5 "	pp		1			1			1		1			2							1			1						1		7	12	0	0	Golgi apparatus plasma membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT3G28860	"ATMDR1, ATMDR11, PGP19, MDR11, MDR1, ATPGP19, ABCB19, ATABCB19 ATP binding cassette subfamily B19 "	pp		1						1		1			2							1									1		5	10	0	0	plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT3G63460	SEC31B	pp							1	1		1			3																		3	0	0	endoplasmic reticulum Golgi apparatus 	cytosol membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT1G62020	Coatomer ? (RET1p)	pp							1	1		1	1	1	5						1												6	0	0	0	cytosol membrane plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT3G19770	VPS9a	pp					1			1					1																		2	0	0	0	cytosol membrane nucleus 	0	Swiss	
ARA7/AtRABF2b	AT2G21390	Coatomer ? (RET1p)	pp							1	1		1	1		4																		4	0	0	0	cytosol membrane 	0	Swiss	
ARA7/AtRABF2b	AT4G31490	Coatomer ß (SEC26p)	pp								1					1																		1	0	0	0	cytosol membrane 	0	Swiss	
ARA7/AtRABF2b	AT3G27530	GC6	pp								1					1																		1	0	0	0	cytosol Golgi apparatus Golgi stack 	0	Swiss	
ARA7/AtRABF2b	AT3G10380	SEC8	pp						1	1	1		1	1		5																		5	0	0	cell wall phragmoplast 	cytosol exocyst plasma membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT5G06140	AtSNX1	pp								1					1																		1	0	0	Golgi apparatus late endosome membrane 	cytosol endosome intracellular membrane-bounded organelle membrane multivesicular body retromer complex 	0	Swiss	
ARA7/AtRABF2b	AT3G43300	MIN7/BIG5	pp					1			1		1	1		3																		4	0	0	early endosome membrane 	cytosol early endosome trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT5G16300	COG1/VPS51	pp								1		1			2																		2	0	0	0	cytosol 	0	trembl	
ARA7/AtRABF2b	AT3G20050	"ATTCP-1, TCP-1 T-complex protein 1 alpha subunit "	pp						1		1		1	1		4			1															5	0	0	0	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT5G58410	HEAT/U-box domain-containing protein 	pp						1		1		1	1		4																		4	0	0	0	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT4G24550	Clathrin adaptor complexes medium subunit family protein 	pp							1	1			1		3																		3	0	0	coated pit Golgi apparatus 	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT4G39520	GTP-binding protein-related 	pp								1			1	1	3																		3	0	0	0	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT1G48900	"Signal recognition particle, SRP54 subunit protein "	pp								1			1		2																		2	0	0	0	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT2G44100	GDI1	pp								1			1		2						1												3	0	0	0	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT3G50590	TWD40-1	pp								1		1			2																		2	2	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G18190	TCP-1/cpn60 chaperonin family protein 	pp								1			1		2						1												3	0	0	0	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT3G60860	BIG2 	pp								1		1			2																		2	0	0	membrane 	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT5G21326	Ca2+regulated serine-threonine protein kinase family protein 	pp								1		1			2																		2	0	0	plasma membrane 	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT4G39080	VHA-A3 vacuolar proton ATPase A3 	pp		1						1				1	2		1						1		1		1						7	6	0	0	chloroplast chloroplast envelope Golgi apparatus membrane plant-type vacuole plant-type vacuole membrane plasma membrane vacuolar membrane vacuole 	0	Swiss	
ARA7/AtRABF2b	AT4G36440	unknown protein	pp		1						1				1	2		1																4	2	0	0	0	0	trembl	
ARA7/AtRABF2b	AT1G71220	"EBS1, UGGT, PSL2 UDP-glucose:glycoprotein glucosyltransferases;transferases, transferring hexosyl groups;transferases, transferring glycosyl groups "	pp								1		1			2			1								1							4	1	0	endoplasmic reticulum lumen 	0	1	Swiss	
ARA7/AtRABF2b	AT5G42220	Ubiquitin-like superfamily protein 	pp								1		1			2																		2	0	0	0	cytosol 	0	trembl	
ARA7/AtRABF2b	AT5G51430	COG7	pp								1		1			2																		2	0	0	0	cytosol 	0	trembl	
ARA7/AtRABF2b	AT3G59020	ARM repeat superfamily protein 	pp							1	1					2																		2	0	0	0	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT1G67930	COG5	pp								1					1																		1	0	0	0	cytosol 	0	trembl	
ARA7/AtRABF2b	AT1G80490	TPR1 TOPLESS-related 1 	pp								1					1																		1	0	0	nucleus 	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT3G08943	ARM repeat superfamily protein 	pp								1					1																		1	0	0	0	cytosol 	0	trembl	
ARA7/AtRABF2b	AT3G12050	Aha1 domain-containing protein 	pp								1					1																		1	0	0	0	cytosol 	0	trembl	
ARA7/AtRABF2b	AT5G13560	unknown protein	pp								1					1																		1	0	0	0	cytosol 	0	trembl	
ARA7/AtRABF2b	AT5G17020	"XPO1A, ATCRM1, ATXPO1, XPO1, HIT2 exportin 1A "	pp								1					1																		1	0	0	0	cytosol 	0	trembl	
ARA7/AtRABF2b	AT1G50030	TOR target of rapamycin 	pp								1		1			2																		2	0	0	0	cytoplasm nucleus 	0	Swiss	
ARA7/AtRABF2b	AT2G39260	binding;RNA binding 	pp								1					1																		1	0	0	perinuclear region of cytoplasm 	cytoplasm nucleolus 	0	Swiss	
ARA7/AtRABF2b	AT3G26030	ATB' DELTA serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B prime delta 	pp								1					1																		1	0	0	0	cytoplasm nucleolus 	0	Swiss	
ARA7/AtRABF2b	AT2G27600	VPS4/SKD1	pp								1			1		2																		2	0	0	0	cytoplasm multivesicular body nucleus plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT3G18780	actin 2 (ACT2)	pp							1	1					2																		2	0	0	cytoskeleton 	cytoplasm membrane nucleus 	0	Swiss	
ARA7/AtRABF2b	AT3G05530	"RPT5A, ATS6A.2 regulatory particle triple-A ATPase 5A "	pp							1	1			1	1	4																		4	0	0	0	cytoplasm cytosol nucleus proteasome complex 	0	Swiss	
ARA7/AtRABF2b	AT3G57290	"EIF3E, TIF3E1, ATEIF3E-1, INT-6, ATINT6, INT6 eukaryotic translation initiation factor 3E "	pp								1					1																		1	0	0	0	cytoplasm cytosol nucleus plasma membrane 	0	trembl	
ARA7/AtRABF2b	AT2G31660	"SAD2, URM9 ARM repeat superfamily protein "	pp							1	1			1		3																		3	0	0	0	cytoplasm cytosol nucleus 	0	Swiss	
ARA7/AtRABF2b	AT3G02530	TCP-1/cpn60 chaperonin family protein 	pp							1	1				1	3																		3	0	0	0	cytoplasm cytosol membrane 	0	Swiss	
ARA7/AtRABF2b	AT4G24800	MA3 domain-containing protein 	pp								1					1										1								2	0	0	0	cytoplasm cytosol Golgi apparatus 	0	trembl	
ARA7/AtRABF2b	AT5G13110	G6PD2 glucose-6-phosphate dehydrogenase 2 	pp								1		1			2																		2	0	0	0	chloroplast stroma 	0	Swiss	
ARA7/AtRABF2b	AT5G05200	Protein kinase superfamily protein 	pp								1					1																		1	0	0	0	chloroplast plastoglobule 	0	Swiss	
ARA7/AtRABF2b	AT3G55200	Cleavage and polyadenylation specificity factor (CPSF) A subunit protein 	pp								1					1																		1	0	0	0	chloroplast plasmodesma 	0	trembl	
ARA7/AtRABF2b	AT5G51200	Protein of unknown function (DUF3414) 	pp								1					1																		1	0	0	0	chloroplast nuclear envelope 	0	Swiss	
ARA7/AtRABF2b	AT5G08740	NDC1 NAD(P)H dehydrogenase C1 	pp								1					1																		1	0	0	mitochondrial inner membrane 	chloroplast mitochondrion plastoglobule 	0	Swiss	
ARA7/AtRABF2b	AT2G33150	"PKT3, PED1, KAT2 peroxisomal 3-ketoacyl-CoA thiolase 3 "	pp			1					1					1																		2	0	0	glyoxysome 	chloroplast membrane mitochondrion nucleolus peroxisome vacuolar membrane 	0	Swiss	
ARA7/AtRABF2b	AT1G20260	"ATPase, V1 complex, subunit B protein"	pp							1	1			1	1	4										1								5	0	0	0	chloroplast Golgi apparatus vacuolar membrane vacuole 	0	Swiss	
ARA7/AtRABF2b	AT4G20890	TUB9 tubulin beta-9 chain 	pp								1					1						1												2	0	0	0	chloroplast Golgi apparatus plasma membrane plasmodesma vacuolar membrane 	0	Swiss	
ARA7/AtRABF2b	AT1G12840	"DET3, ATVHA-C vacuolar ATP synthase subunit C (VATC) / V-ATPase C subunit / vacuolar proton pump C subunit (DET3) "	pp		1						1					1								1		1							1	5	0	0	0	"chloroplast Golgi apparatus plant-type vacuole plasma membrane vacuolar membrane vacuolar proton-transporting V-type ATPase, V1 domain vacuole "	0	Swiss	
ARA7/AtRABF2b	AT5G08690	ATP synthase alpha/beta family protein 	pp							1	1	1		1	1	5																		5	0	0	0	"chloroplast envelope mitochondrial proton-transporting ATP synthase complex mitochondrial proton-transporting ATP synthase complex, catalytic core F(1) mitochondrial respiratory chain complex I mitochondrion nucleolus "	0	Swiss	
ARA7/AtRABF2b	AT5G39410	Saccharopine dehydrogenase  	pp								1					1							1								1			3	0	0	mitochondrial membrane 	chloroplast envelope membrane mitochondrion plasma membrane vacuolar membrane vacuole 	0	Swiss	
ARA7/AtRABF2b	AT3G12110	ACT11 actin-11 	pp								1					1																		1	0	0	0	chloroplast envelope chloroplast stroma mitochondrion plasma membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT5G47690	binding 	pp								1					1																		1	0	0	0	chloroplast cytosol mitochondrion nucleus 	0	trembl	
ARA7/AtRABF2b	AT1G23190	PGM3 Phosphoglucomutase/phosphomannomutase family protein 	pp								1		1	1		3																		3	0	0	0	chloroplast cytoplasm cytosol nucleus plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT5G01530	LHCB4.1 light harvesting complex photosystem II 	pp							1	1					2																		2	0	0	0	chloroplast chloroplast thylakoid chloroplast thylakoid membrane membrane plastoglobule thylakoid 	0	Swiss	
ARA7/AtRABF2b	AT4G33510	DHS2 3-deoxy-d-arabino-heptulosonate 7-phosphate synthase 	pp								1			1		2																		2	0	0	0	chloroplast chloroplast thylakoid 	0	Swiss	
ARA7/AtRABF2b	AT1G32500	"ATNAP6, NAP6 non-intrinsic ABC protein 6 "	pp								1					1																		1	0	0	0	chloroplast chloroplast stroma plastid 	0	Swiss	
ARA7/AtRABF2b	AT1G74960	"FAB1, KAS2, ATKAS2 fatty acid biosynthesis 1 "	pp							1	1			1		3																		3	0	0	0	chloroplast chloroplast stroma 	0	Swiss	
ARA7/AtRABF2b	AT5G53460	GLT1 NADH-dependent glutamate synthase 1 	pp								1		1			2																		2	0	0	0	chloroplast chloroplast stroma 	0	Swiss	
ARA7/AtRABF2b	AT1G56050	GTP-binding protein-related 	pp								1					1																		1	0	0	0	chloroplast chloroplast stroma 	0	trembl	
ARA7/AtRABF2b	AT2G34460	NAD(P)-binding Rossmann-fold superfamily protein 	pp								1			1		2																		2	0	0	0	chloroplast chloroplast envelope chloroplast thylakoid chloroplast thylakoid membrane plastoglobule 	0	Swiss	
ARA7/AtRABF2b	AT4G04640	"ATPC1 ATPase, F1 complex, gamma subunit protein "	pp								1	1		1		3																		3	0	0	0	chloroplast chloroplast envelope chloroplast thylakoid chloroplast thylakoid membrane membrane thylakoid 	0	Swiss	
ARA7/AtRABF2b	AT3G23400	FIB4 Plastid-lipid associated protein PAP / fibrillin family protein 	pp							1	1					2							1									1		4	0	0	0	chloroplast chloroplast envelope chloroplast thylakoid chloroplast thylakoid membrane membrane nucleus plasma membrane plastoglobule thylakoid thylakoid lumen 	0	Swiss	
ARA7/AtRABF2b	AT5G42650	"AOS, CYP74A, DDE2 allene oxide synthase "	pp								1			1		2																		2	0	0	0	chloroplast chloroplast envelope chloroplast thylakoid chloroplast thylakoid membrane membrane mitochondrion plastoglobule thylakoid 	0	Swiss	
ARA7/AtRABF2b	AT3G55250	unknown protein	pp								1					1																		1	0	0	0	chloroplast chloroplast envelope chloroplast stroma mitochondrion nucleus 	0	trembl	
ARA7/AtRABF2b	AT1G61250	SC3 secretory carrier 3 	pp		1			1			1					1		1		1												1		6	4	0	transport vesicle membrane 	endosome Golgi apparatus membrane plasma membrane trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT3G05710	SYP43	pp		1			1			1					1		1		1											1			6	1	0	0	endosome Golgi apparatus trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT2G18960	"AHA1, PMA, OST2, HA1 H(+)-ATPase 1 "	pp		1						1					1		1					1			1						1		6	10	0	0	Golgi apparatus integral component of membrane membrane nucleus plasma membrane plasmodesma vacuole 	0	Swiss	
ARA7/AtRABF2b	AT5G49720	"ATGH9A1, TSD1, DEC, KOR, RSW2, IRX2, KOR1, GH9A1 glycosyl hydrolase 9A1 "	pp		1						1					1		1		1						1					1			6	1	0	0	cell plate early endosome endosome Golgi apparatus plasma membrane trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT3G56940	"CRD1, CHL27, ACSF dicarboxylate diiron protein, putative (Crd1) "	pp		1						1					1																		2	0	0	0	chloroplast chloroplast envelope chloroplast inner membrane chloroplast thylakoid chloroplast thylakoid membrane 	0	Swiss	
ARA7/AtRABF2b	AT5G57110	"ACA8, AT-ACA8 autoinhibited Ca2+ -ATPase, isoform 8 "	pp								1					1		1					1									1		4	6	0	0	membrane plasma membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT4G00740	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	pp								1					1		1		1						1			1					5	1	0	Golgi membrane 	endosome Golgi apparatus integral component of membrane membrane trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT1G25490	"RCN1, REGA, ATB BETA BETA, EER1 ARM repeat superfamily protein "	pp								1		1	1		3																		3	0	0	0	cell wall nucleus plasma membrane 	0	Swiss	1
ARA7/AtRABF2b	AT2G14720	VSR4	pp		1			1			1					1				1						1					1			6	1	0	clathrin-coated vesicle membrane Golgi membrane late endosome membrane 	endosome Golgi apparatus trans-Golgi network vacuole 	1	Swiss	
ARA7/AtRABF2b	AT5G43010	RPT4A regulatory particle triple-A ATPase 4A 	pp								1			1		2																		2	0	0	0	cell wall cytosol proteasome complex 	0	Swiss	1
ARA7/AtRABF2b	AT2G38360	AtPRA1.B4	pp		1						1					1				1						1								4	3	0	endosome membrane 	cytosol endoplasmic reticulum endosome Golgi apparatus trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT4G14960	TUA6 Tubulin/FtsZ family protein 	pp								1					1																		1	0	0	0	cell wall cytosol membrane microtubule nucleolus plasma membrane plasmodesma tubulin complex vacuole 	0	Swiss	1
ARA7/AtRABF2b	AT1G12000	Phosphofructokinase family protein 	pp								1		1	1		3																		3	0	0	0	cell wall cytosol membrane 	0	Swiss	1
ARA7/AtRABF2b	AT3G14210	ESM1 epithiospecifier modifier 1 	pp								1					1																		1	1	0	0	apoplast chloroplast chloroplast envelope cytosolic ribosome membrane nucleus peroxisome plasmodesma vacuole 	1	Swiss	
ARA7/AtRABF2b	AT2G29550	TUB7 tubulin beta-7 chain 	pp								1					1							1			1						1		4	0	0	0	cell wall cytosol Golgi apparatus plasma membrane plasmodesma vacuole 	0	Swiss	1
ARA7/AtRABF2b	AT5G19820	emb2734 ARM repeat superfamily protein 	pp						1	1	1	1	1	1		6																		6	0	0	0	cell wall cytosol 	0	trembl	1
ARA7/AtRABF2b	AT1G70940	"PIN3, ATPIN3 Auxin efflux carrier family protein "	pp								1					1																		1	9	0	0	cell surface lateral plasma membrane plasma membrane vesicle membrane 	0	Swiss	
ARA7/AtRABF2b	AT2G41560	"ACA4 autoinhibited Ca(2+)-ATPase, isoform 4 "	pp								1					1								1									1	3	8	0	0	chloroplast plant-type vacuole plant-type vacuole membrane vacuolar membrane vacuole 	0	Swiss	
ARA7/AtRABF2b	AT3G01780	TPLATE	pp	1						1	1					2							1											4	0	0	0	cell plate cytoplasm cytosol nucleus phragmoplast plasma membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	ATCG00280	PSBC photosystem II reaction center protein C	pp								1					1																		1	5	0	chloroplast thylakoid membrane 	0	0	Swiss	
ARA7/AtRABF2b	ATCG00680	PSBB photosystem II reaction center protein B	pp								1					1																		1	5	0	chloroplast thylakoid membrane 	0	0	Swiss	
ARA7/AtRABF2b	AT2G20190	"ATCLASP, CLASP CLIP-associated protein "	pp								1			1		2																		2	0	0	0	cell cortex phragmoplast plasma membrane plasmodesma spindle microtubule 	0	Swiss	
ARA7/AtRABF2b	AT1G65930	cICDH cytosolic NADP+-dependent isocitrate dehydrogenase 	pp								1					1						1												2	0	0	0	apoplast chloroplast stroma cytosol plasma membrane plasmodesma 	0	Swiss	1
ARA7/AtRABF2b	AT5G61410	"RPE, EMB2728 D-ribulose-5-phosphate-3-epimerase "	pp								1					1																		1	0	0	0	apoplast chloroplast chloroplast envelope chloroplast stroma stromule thylakoid 	0	trembl	1
ARA7/AtRABF2b	AT5G08280	HEMC hydroxymethylbilane synthase 	pp								1			1	1	3																		3	0	0	0	apoplast chloroplast chloroplast envelope chloroplast stroma 	0	Swiss	1
ARA7/AtRABF2b	AT5G44340	TUB4 tubulin beta chain 4 	pp								1					1							1											2	0	0	0	apoplast cell wall chloroplast stroma cytosol Golgi apparatus plasma membrane plasmodesma 	0	Swiss	1
ARA7/AtRABF2b	AT1G20620	"CAT3, SEN2, ATCAT3 catalase 3 "	pp			1				1	1	1				3																		4	0	0	0	apoplast cell wall chloroplast chloroplast envelope chloroplast stroma cytosolic ribosome membrane mitochondrion peroxisome plasma membrane plasmodesma vacuole 	0	Swiss	1
ARA7/AtRABF2b	AT3G12780	PGK1 phosphoglycerate kinase 1 	pp								1			1	1	3																		3	0	0	0	apoplast cell wall chloroplast chloroplast envelope chloroplast stroma cytoplasm cytosol membrane mitochondrion nucleus stromule thylakoid 	0	Swiss	1
ARA7/AtRABF2b	AT2G39730	RCA rubisco activase 	pp		1						1					1																		2	0	0	0	apoplast cell wall chloroplast chloroplast envelope chloroplast stroma chloroplast thylakoid membrane membrane nucleus plastoglobule stromule thylakoid 	0	Swiss	1
ARA7/AtRABF2b	AT5G20890	TCP-1/cpn60 chaperonin family protein 	pp								1					1																		1	0	0	0	anchored component of plasma membrane cell wall cytosol 	0	Swiss	1
ARA7/AtRABF2b	AT2G16950	"TRN1, ATTRN1 transportin 1 "	pp						1	1	1		1	1		5																		5	0	0	cytoplasm nucleoplasm 	0	0	Swiss	
ARA7/AtRABF2b	AT5G65010	ASN2 asparagine synthetase 2 	pp						1	1	1		1	1		5																		5	0	0	0	0	0	Swiss	
ARA7/AtRABF2b	AT1G52360	Coatomer ß ' (SEC27p)	pp							1	1		1	1		4																		4	0	0	COPI-coated vesicle membrane 	0	0	Swiss	
ARA7/AtRABF2b	AT1G18270	ketose-bisphosphate aldolase class-II family protein 	pp								1		1	1		3																		3	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT5G49830	EXO84B/VPS51	pp								1			1		2																		2	0	0	cell wall cytosol phragmoplast 	0	0	Swiss	
ARA7/AtRABF2b	AT1G64790	ILA ILITYHIA 	pp								1		1	1		3																		3	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT5G09900	"EMB2107, RPN5A, MSA 26S proteasome regulatory subunit, putative (RPN5) "	pp							1	1			1		3																		3	0	0	cytoplasm nucleus 	0	0	Swiss	
ARA7/AtRABF2b	AT1G02080	transcription regulators 	pp						1		1		1			3																		3	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT2G07360	TASH3	pp						1		1		1			3																		3	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G06530	ARM repeat superfamily protein 	pp						1		1		1			3																		3	0	0	nucleolus 	0	0	Swiss	
ARA7/AtRABF2b	AT5G65950	unknown protein	pp		1			1		1	1		1			3																		5	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT2G40730	Protein kinase family protein with ARM repeat domain 	pp						1		1					2																		2	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G52140	tetratricopeptide repeat (TPR)-containing protein 	pp						1		1					2																		2	0	0	cytoplasm 	0	0	Swiss	
ARA7/AtRABF2b	AT1G67140	SWEETIE HEAT repeat-containing protein 	pp								1		1			2																		2	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT2G26780	ARM repeat superfamily protein 	pp								1		1			2																		2	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT2G45540	WD-40 repeat family protein / beige-related 	pp								1		1			2																		2	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT4G01800	"AGY1, AtcpSecA, SECA1 Albino or Glassy Yellow 1 "	pp								1		1			2																		2	0	0	chloroplast stroma chloroplast thylakoid membrane 	0	0	Swiss	
ARA7/AtRABF2b	AT4G27640	ARM repeat superfamily protein 	pp								1		1			2																		2	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT1G31850	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	pp								1					1				1						1			1					4	1	0	Golgi membrane 	endosome Golgi apparatus trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT3G48890	"ATMP2, ATMAPR3, MSBP2, MAPR3 membrane-associated progesterone binding protein 3 "	pp								1					1			1									1						3	1	0	plasma membrane 	chloroplast thylakoid membrane endoplasmic reticulum nucleus 	0	Swiss	
ARA7/AtRABF2b	AT3G51050	FG-GAP repeat-containing protein 	pp								1					1			1							1					1			4	1	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G28200	Peroxidase superfamily protein 	pp								1					1																		1	0	0	extracellular region 	cytosol plant-type cell wall 	1	Swiss	
ARA7/AtRABF2b	AT5G27970	ARM repeat superfamily protein 	pp								1		1			2																		2	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT5G39590	TLD-domain containing nucleolar protein 	pp								1		1			2																		2	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT5G17770	"ATCBR, CBR1, CBR NADH:cytochrome B5 reductase 1 "	pp								1					1			1									1						3	1	0	mitochondrial outer membrane 	endoplasmic reticulum plant-type cell wall plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT1G03160	FZL FZO-like 	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT1G48090	calcium-dependent lipid-binding family protein 	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT1G55860	UPL1 ubiquitin-protein ligase 1 	pp								1					1																		1	0	0	0	0	0	Swiss	
ARA7/AtRABF2b	AT2G17930	Phosphatidylinositol 3- and 4-kinase family protein with FAT domain 	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT2G18940	Tetratricopeptide repeat (TPR)-like superfamily protein 	pp								1					1																		1	0	0	chloroplast 	0	0	Swiss	
ARA7/AtRABF2b	AT2G22125	CSI1 binding 	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT2G27900	unknown protein	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT2G36360	Galactose oxidase/kelch repeat superfamily protein 	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT2G46560	transducin family protein / WD-40 repeat family protein 	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G03110	"XPO1B, CRM1B exportin 1B "	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G04490	unknown protein	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G06670	binding 	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G10350	P-loop containing nucleoside triphosphate hydrolases superfamily protein 	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G13920	"EIF4A1, RH4, TIF4A1 eukaryotic translation initiation factor 4A1 "	pp								1					1																		1	0	0	cytoplasm 	0	0	Swiss	
ARA7/AtRABF2b	AT3G20720	unknown protein	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G27670	RST1 ARM repeat superfamily protein 	pp								1					1																		1	0	0	plasma membrane 	0	0	Swiss	
ARA7/AtRABF2b	AT4G02030	VPS51	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT4G24840	COG2	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT4G31850	PGR3 proton gradient regulation 3 	pp								1					1																		1	0	0	chloroplast 	0	0	Swiss	
ARA7/AtRABF2b	AT5G03540	EXO70A1	pp								1					1																		1	0	0	cell wall cytosol phragmoplast plasma membrane 	0	0	Swiss	
ARA7/AtRABF2b	AT5G06120	ARM repeat superfamily protein 	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT5G06220	LETM1-like protein 	pp								1					1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT5G08470	PEX1 peroxisome 1 	pp								1					1																		1	0	0	0	0	0	Swiss	
